id,series,subject,grade,term,year,publisher,type,title,pages,paper_count,unit_price,no_cover_price,has_cover,companion_of,file
97,الشاطر,رياضيات,6,1,2027,المتميزون,كتاب,الشاطر - رياضيات - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf,258,129,103.85,83.85,True,,library\Grade_06\الشاطر - رياضيات - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf
98,الشاطر,عربي,6,1,2027,المتميزون,كتاب,الشاطر - عربي - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf,242,121,98.65,78.65,True,,library\Grade_06\الشاطر - عربي - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf
99,,,6,1,2027,المتميزون,كتاب,الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون - بت باي بت.pdf,242,121,98.65,78.65,True,,library\Grade_06\الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون - بت باي بت.pdf
100,المعاصر,انجليزي,6,1,2027,المتميزون,كتاب,المعاصر - انجليزي - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf,276,138,109.7,89.7,True,,library\Grade_06\المعاصر - انجليزي - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf
101,,انجليزي,6,,,,كتاب,انجليزي - الصف السادس الابتدائي.pdf,276,138,109.7,89.7,True,,library\Grade_06\انجليزي - الصف السادس الابتدائي.pdf
102,جيم,,6,,,,كتاب,جيم - الصف السادس الابتدائي.pdf,272,136,108.4,88.4,True,,library\Grade_06\جيم - الصف السادس الابتدائي.pdf
103,,دراسات,6,1,2027,,كتاب,دراسات - الصف السادس الابتدائي - الترم الأول - 2027 - سندباد ا.pdf,326,163,125.95,105.95,True,,library\Grade_06\دراسات - الصف السادس الابتدائي - الترم الأول - 2027 - سندباد ا.pdf
104,سلاح التلميذ,,6,1,2027,المتميزون,كتاب,سلاح التلميذ - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون - دين.pdf,178,89,77.85,57.85,True,,library\Grade_06\سلاح التلميذ - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون - دين.pdf
105,سلاح التلميذ,,6,1,2027,المتميزون,كتاب,سلاح التلميذ - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون - كمبيوتر.pdf,130,65,62.25,42.25,True,,library\Grade_06\سلاح التلميذ - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون - كمبيوتر.pdf
106,سلاح التلميذ,دراسات,6,1,2027,المتميزون,كتاب,سلاح التلميذ - دراسات - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf,322,161,124.65,104.65,True,,library\Grade_06\سلاح التلميذ - دراسات - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf
107,سلاح التلميذ,رياضيات,6,1,2027,المتميزون,كتاب,سلاح التلميذ - رياضيات - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf,290,145,114.25,94.25,True,,library\Grade_06\سلاح التلميذ - رياضيات - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf
108,سلاح التلميذ,عربي,6,1,2027,المتميزون,كتاب,سلاح التلميذ - عربي - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf,290,145,114.25,94.25,True,,library\Grade_06\سلاح التلميذ - عربي - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf
109,سلاح التلميذ,علوم,6,1,2027,المتميزون,كتاب,سلاح التلميذ - علوم - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf,210,105,88.25,68.25,True,,library\Grade_06\سلاح التلميذ - علوم - الصف السادس الابتدائي - الترم الأول - 2027 - المتميزون.pdf
110,قطر الندى,علوم,6,,,,كتاب,قطر الندى - علوم - الصف السادس الابتدائي - احمد مراد.pdf,43,22,34.3,14.3,True,,library\Grade_06\قطر الندى - علوم - الصف السادس الابتدائي - احمد مراد.pdf
